game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1797271|11/06/2019 07:00 PM|487000|486857|['34', '45', '79']|['35', '36', '71']|4223|['Adam Vandenburgh', 'Brian Dorsey', 'Evon Burroughs']
1797267|11/06/2019 07:00 PM|486922|486846|['37', '31', '68']|['25', '56', '81']|5214|"['Justin Porterfield', 'Jeff Clark', ""Brian O'Connell""]"
1797259|11/06/2019 07:00 PM|486750|486655|['27', '28', '55']|['37', '40', '77']|11927|['Todd Austin', 'Vladimir Voyard-Tadal', 'Rob Rorke']
1797263|11/06/2019 07:30 PM|490072|486666|['33', '37', '70']|['38', '49', '87']|686|['Marcus Hawkins', 'Raymond Shipps', 'Kevin Joseph']
1797289|11/06/2019 07:30 PM|486926|486876|['36', '38', '74']|['35', '44', '79']|3083|['Trey Styons', 'Mike Millione', 'Leslie Jones']
1797266|11/06/2019 07:30 PM|487663|486672|['32', '38', '70']|['50', '39', '89']|2588|['Tyson Holden', 'Josh Hang', 'Kerby Sitton']
1797279|11/06/2019 08:00 PM|490695|486653|['20', '31', '51']|['33', '49', '82']|1402|['Chris Pacsi', 'Hunter Allen', 'Bill Jacobson']
1797277|11/06/2019 08:00 PM|487611|486852|['30', '40', '70']|['43', '59', '102']|-1|['NA', 'NA', 'NA']
1797275|11/06/2019 08:00 PM|486660|486693|['21', '34', '55']|['33', '43', '76']|2179|['Jerry Heater', 'Randy Heimerman', 'Pat Adams']
1797291|11/06/2019 08:00 PM|486840|486971|['25', '36', '61']|['25', '38', '63']|9016|['Tony Henderson', 'Mike Stephens', 'Ted Valentine']
1797285|11/06/2019 08:00 PM|486744|486864|['31', '41', '72']|['23', '56', '79']|5310|"['Jeb Hartness', ""Mike O'Neill"", 'Bobby Daw']"
1797261|11/06/2019 08:00 PM|486873|486791|['34', '28', '62']|['37', '46', '83']|1517|['Tim Marion', 'Klaus Endrissat', 'Tom Nally']
1797256|11/06/2019 08:00 PM|486741|486916|['22', '20', '42']|['43', '39', '82']|8185|['Chuck Jones', 'Patrick Evans', 'Robert Felder']
1797257|11/06/2019 08:00 PM|486954|486682|['26', '37', '63']|['38', '39', '77']|5751|['Gerald Williams', 'Bart Lenox', 'Anthony Jordan']
1797258|11/06/2019 08:00 PM|486659|486701|['32', '33', '65']|['32', '51', '83']|8097|['Wil  Howard', 'Steven Anderson', 'Doug  Shows']
1797260|11/06/2019 08:00 PM|487175|486829|['11', '39', '50']|['38', '41', '79']|3323|['Carl Pundt', 'Brent  Hampton', 'T Jerome Hall']
1797268|11/06/2019 08:00 PM|486963|486960|['30', '45', '75']|['39', '41', '80']|7319|['Jabir Walker', 'Rick Crawford', 'Joe DeRosa']
1797270|11/06/2019 08:00 PM|486889|486746|['38', '44', '82']|['20', '29', '49']|1027|['Carl Gray', 'Nomi Kidwai', 'Jeff Malham']
